datetime,chp_gas_in,chp_el_out,chp_heat_out,chp_status,demand_th,unmet_demand
2026-04-18 15:00:00,6.397379912663755,2.379825327510917,2.93,1.0,2.93,0.0
2026-04-18 16:00:00,6.9432314410480345,2.5828820960698686,3.1799999999999997,1.0,3.18,4.440892098500626e-16
2026-04-18 17:00:00,7.117903930131003,2.647860262008733,3.26,1.0,3.26,0.0
2026-04-18 18:00:00,7.838427947598252,2.9158951965065496,3.5899999999999994,1.0,3.59,4.440892098500626e-16
2026-04-18 19:00:00,8.36244541484716,3.1108296943231437,3.8299999999999996,1.0,3.83,4.440892098500626e-16
2026-04-18 20:00:00,8.646288209606986,3.216419213973799,3.96,1.0,3.96,0.0
2026-04-18 21:00:00,8.493449781659388,3.1595633187772925,3.8899999999999997,1.0,3.89,4.440892098500626e-16
2026-04-18 22:00:00,7.707423580786025,2.8671615720524013,3.5299999999999994,1.0,3.53,4.440892098500626e-16
2026-04-18 23:00:00,6.266375545851528,2.331091703056768,2.8699999999999997,1.0,2.87,4.440892098500626e-16
2026-04-19 00:00:00,6.113537117903929,2.274235807860262,2.8,1.0,2.8,0.0
2026-04-19 01:00:00,6.222707423580785,2.314847161572052,2.8499999999999996,1.0,2.85,4.440892098500626e-16
2026-04-19 02:00:00,6.353711790393013,2.363580786026201,2.91,1.0,2.91,0.0
2026-04-19 03:00:00,6.68122270742358,2.485414847161572,3.06,1.0,3.06,0.0
2026-04-19 04:00:00,7.401746724890829,2.7534497816593886,3.39,1.0,3.39,0.0
2026-04-19 05:00:00,8.209606986899562,3.053973799126637,3.7599999999999993,1.0,3.76,4.440892098500626e-16
2026-04-19 06:00:00,8.318777292576419,3.0945851528384276,3.81,1.0,3.81,0.0
2026-04-19 07:00:00,8.122270742358078,3.0214847161572047,3.7199999999999998,1.0,3.72,4.440892098500626e-16
2026-04-19 08:00:00,7.401746724890829,2.7534497816593886,3.39,1.0,3.39,0.0
2026-04-19 09:00:00,7.074235807860262,2.6316157205240174,3.24,1.0,3.24,0.0
2026-04-19 10:00:00,6.768558951965065,2.517903930131004,3.0999999999999996,1.0,3.1,4.440892098500626e-16
2026-04-19 11:00:00,6.462882096069868,2.404192139737991,2.9599999999999995,1.0,2.96,4.440892098500626e-16
2026-04-19 12:00:00,6.135371179039301,2.28235807860262,2.81,1.0,2.81,0.0
2026-04-19 13:00:00,6.266375545851528,2.331091703056768,2.8699999999999997,1.0,2.87,4.440892098500626e-16
2026-04-19 14:00:00,6.113537117903929,2.274235807860262,2.8,1.0,2.8,0.0
2026-04-19 15:00:00,6.179039301310043,2.298602620087336,2.8299999999999996,1.0,2.83,4.440892098500626e-16
2026-04-19 16:00:00,6.615720524017466,2.4610480349344974,3.03,1.0,3.03,0.0
2026-04-19 17:00:00,6.834061135371178,2.5422707423580784,3.13,1.0,3.13,0.0
2026-04-19 18:00:00,7.620087336244541,2.8346724890829695,3.49,1.0,3.49,0.0
2026-04-19 19:00:00,8.253275109170305,3.0702183406113535,3.78,1.0,3.78,0.0
2026-04-19 20:00:00,8.755458515283841,3.257030567685589,4.01,1.0,4.01,0.0
2026-04-19 21:00:00,8.493449781659388,3.1595633187772925,3.8899999999999997,1.0,3.89,4.440892098500626e-16
2026-04-19 22:00:00,7.751091703056767,2.8834061135371174,3.5499999999999994,1.0,3.55,4.440892098500626e-16
2026-04-19 23:00:00,6.288209606986898,2.339213973799126,2.8799999999999994,1.0,2.88,4.440892098500626e-16
2026-04-20 00:00:00,5.93886462882096,2.2092576419213974,2.7199999999999998,1.0,2.72,4.440892098500626e-16
2026-04-20 01:00:00,6.113537117903929,2.274235807860262,2.8,1.0,2.8,0.0
2026-04-20 02:00:00,6.331877729257641,2.3554585152838428,2.9,1.0,2.9,0.0
2026-04-20 03:00:00,6.790393013100435,2.526026200873362,3.1099999999999994,1.0,3.11,4.440892098500626e-16
2026-04-20 04:00:00,7.59825327510917,2.826550218340611,3.48,1.0,3.48,0.0
2026-04-20 05:00:00,8.471615720524015,3.1514410480349335,3.8799999999999994,1.0,3.88,4.440892098500626e-16
2026-04-20 06:00:00,8.799126637554584,3.273275109170305,4.03,1.0,4.03,0.0
2026-04-20 07:00:00,8.668122270742357,3.224541484716157,3.9699999999999998,1.0,3.97,4.440892098500626e-16
2026-04-20 08:00:00,7.489082969432314,2.785938864628821,3.4299999999999997,1.0,3.43,4.440892098500626e-16
2026-04-20 09:00:00,6.615720524017466,2.4610480349344974,3.03,1.0,3.03,0.0
2026-04-20 10:00:00,5.960698689956331,2.217379912663755,2.7299999999999995,1.0,2.73,4.440892098500626e-16
2026-04-20 11:00:00,5.676855895196506,2.1117903930131003,2.5999999999999996,1.0,2.6,4.440892098500626e-16
2026-04-20 12:00:00,5.5895196506550215,2.079301310043668,2.56,1.0,2.56,0.0
2026-04-20 13:00:00,5.742358078602619,2.136157205240174,2.6299999999999994,1.0,2.63,4.440892098500626e-16
2026-04-20 14:00:00,5.545851528384279,2.063056768558952,2.54,1.0,2.54,0.0
2026-04-20 15:00:00,5.611353711790392,2.0874235807860257,2.57,1.0,2.57,0.0
2026-04-20 16:00:00,5.960698689956331,2.217379912663755,2.7299999999999995,1.0,2.73,4.440892098500626e-16
2026-04-20 17:00:00,6.441048034934497,2.396069868995633,2.9499999999999997,1.0,2.95,4.440892098500626e-16
2026-04-20 18:00:00,7.270742358078602,2.70471615720524,3.3299999999999996,1.0,3.33,4.440892098500626e-16
2026-04-20 19:00:00,7.925764192139737,2.9483842794759823,3.63,1.0,3.63,0.0
2026-04-20 20:00:00,8.427947598253274,3.135196506550218,3.86,1.0,3.86,0.0
2026-04-20 21:00:00,8.231441048034934,3.0620960698689954,3.77,1.0,3.77,0.0
2026-04-20 22:00:00,7.4454148471615715,2.7696943231441047,3.4099999999999997,1.0,3.41,4.440892098500626e-16
2026-04-20 23:00:00,6.179039301310043,2.298602620087336,2.8299999999999996,1.0,2.83,4.440892098500626e-16
2026-04-21 00:00:00,5.7641921397379905,2.1442794759825325,2.6399999999999997,1.0,2.64,4.440892098500626e-16
2026-04-21 01:00:00,5.93886462882096,2.2092576419213974,2.7199999999999998,1.0,2.72,4.440892098500626e-16
2026-04-21 02:00:00,6.179039301310043,2.298602620087336,2.8299999999999996,1.0,2.83,4.440892098500626e-16
2026-04-21 03:00:00,6.637554585152838,2.4691703056768555,3.04,1.0,3.04,0.0
2026-04-21 04:00:00,7.379912663755458,2.74532751091703,3.38,1.0,3.38,0.0
